,gas
2020-02-15,0.0027990276446083918
2020-02-16,0.00284098819012679
2020-02-17,0.0021958270137827198
2020-02-18,0.0017148907622481677
2020-02-19,0.0019478532145000935
2020-02-20,0.0020455458773598087
2020-02-21,0.0019195360567322596
2020-02-22,0.0021465147329262245
2020-02-23,0.0015290673877171935
2020-02-24,0.001610890972197768
2020-02-25,0.0038798810507205497
2020-02-26,0.0038003849256451954
2020-02-27,0.0025806762242515597
2020-02-28,0.0021355603516237274
2020-02-29,0.001920766356232491
2020-03-01,0.00222914845942183
2020-03-02,0.0018772958031152934
2020-03-03,0.0016328164763489824
2020-03-04,0.002466680423578435
2020-03-05,0.0025785696735399818
2020-03-06,0.001777835245275964
2020-03-07,0.00280952991707979
2020-03-08,0.004966904761201736
2020-03-09,0.00531503989943385
2020-03-10,0.002606963740628214
2020-03-11,0.003923471263959277
2020-03-12,0.033781320336355426
2020-03-13,0.023291705728470134
2020-03-14,0.003156866763360485
2020-03-15,0.004532104770785608
2020-03-16,0.01141143613527919
2020-03-17,0.005335163282917699
2020-03-18,0.005440040420175553
2020-03-19,0.006663604704331866
2020-03-20,0.005951557294578424
2020-03-21,0.004309042730250703
2020-03-22,0.004855196009378329
2020-03-23,0.004802424524496076
2020-03-24,0.004687441857061407
2020-03-25,0.0033137064842406836
2020-03-26,0.0038589533089210754
2020-03-27,0.003593231097751145
2020-03-28,0.004001084675070298
2020-03-29,0.003350678165997895
2020-03-30,0.0034526455532045454
2020-03-31,0.003364714347138052
2020-04-01,0.00281575527438317
2020-04-02,0.003818179906329132
2020-04-03,0.002675519502601781
2020-04-04,0.0028723342300614567
2020-04-05,0.0025029004164116887
2020-04-06,0.005398240173971361
2020-04-07,0.00341981069092868
2020-04-08,0.004457053691389079
2020-04-09,0.0038247835706953946
2020-04-10,0.004209605344093591
2020-04-11,0.004331688623496478
2020-04-12,0.003025725730918938
2020-04-13,0.005204535014644928
2020-04-14,0.004919575904927998
2020-04-15,0.004348488619882563
2020-04-16,0.005148231613697213
2020-04-17,0.0035107839428253802
2020-04-18,0.005006057155294932
2020-04-19,0.004916101328220931
2020-04-20,0.005428096934153941
2020-04-21,0.005638790075197043
2020-04-22,0.00773969427054154
2020-04-23,0.0062077710965566055
2020-04-24,0.004292034295210956
2020-04-25,0.004967153335635423
2020-04-26,0.005548707132014582
2020-04-27,0.004647867976434357
2020-04-28,0.0035013253275908516
2020-04-29,0.00600792478528623
2020-04-30,0.004652694928408506
2020-05-01,0.005089205283500413
2020-05-02,0.004639554953302526
2020-05-03,0.00736905449673627
2020-05-04,0.005162159605166888
2020-05-05,0.006980924796851034
2020-05-06,0.009432061058123624
2020-05-07,0.008942528433131666
2020-05-08,0.010531278648677853
2020-05-09,0.01200693044164325
2020-05-10,0.009202439569654344
2020-05-11,0.008651573505569825
2020-05-12,0.014229161349469017
2020-05-13,0.022297067450290312
2020-05-14,0.017103736718179597
2020-05-15,0.013763068136895991
2020-05-16,0.0058918195201680835
2020-05-17,0.005069942755145452
2020-05-18,0.02658670790398181
2020-05-19,0.006405827197368039
2020-05-20,0.006378162547580047
2020-05-21,0.03402195316564669
2020-05-22,0.005931684439672108
2020-05-23,0.005026754328089327
2020-05-24,0.026159994787161675
2020-05-25,0.007001336960255752
2020-05-26,0.006692453761365285
2020-05-27,0.03250627632296094
2020-05-28,0.0066098542114491005
2020-05-29,0.005332365274295552
2020-05-30,0.022685587736284787
2020-05-31,0.005035372455116793
2020-06-01,0.0050964556646395775
2020-06-02,0.023032064475470706
2020-06-03,0.004493990121475693
2020-06-04,0.005872348057025242
2020-06-05,0.021779114362367045
2020-06-06,0.008160260399507069
2020-06-07,0.00813433422063562
2020-06-08,0.036113710893026445
2020-06-09,0.011508436695374541
2020-06-10,0.010557779403899528
2020-06-11,0.02381233832385404
2020-06-12,0.008336136695033344
2020-06-13,0.007126856650289208
2020-06-14,0.027234808105678198
2020-06-15,0.012912661062502844
2020-06-16,0.015602603276209649
2020-06-17,0.035520150258422055
2020-06-18,0.014249708368915972
2020-06-19,0.016700967493634134
2020-06-20,0.020789957474459175
2020-06-21,0.01449090738407756
2020-06-22,0.013172122422748867
2020-06-23,0.031981910864384976
2020-06-24,0.015578728218317725
2020-06-25,0.014201570056054965
2020-06-26,0.027252717744407035
2020-06-27,0.010788931486036041
2020-06-28,0.012226866789606496
2020-06-29,0.03554641362281242
2020-06-30,0.01279868786590727
